Ac,410,4.25
Al,327,3.39
Am,264,2.73
Sb,265,2.75
Ar,7.74,0.080
As,285.3,2.96
Ba,183,1.90
Be,320,3.32
Bi,210,2.18
B,561,5.81
Br,118,1.22
Cd,112,1.16
Ca,178,1.84
C,711,7.37
Ce,417,4.32
Cs,77.6,0.804
Cl,135,1.40
Cr,395,4.10
Co,424,4.39
Cu,336,3.49
Cm,385,3.99
Dy,294,3.04
Er,317,3.29
Eu,179,1.86
F,81.0,0.84
Gd,400,4.14
Ga,271,2.81
Ge,372,3.85
Au,368,3.81
Hf,621,6.44
Ho,302,3.14
In,243,2.52
I,107,1.11
Ir,670,6.94
Fe,413,4.28
Kr,11.2,0.116
La,431,4.47
Pb,196,2.03
Li,158,1.63
Lu,428,4.43
Mg,145,1.51
Mn,282,2.92
Hg,65,0.67
Mo,658,6.82
Nd,328,3.40
Ne,1.92,0.020
Np,456,4.73
Ni,428,4.44
Nb,730,7.57
N,474,4.92
Os,788,8.17
O,251,2.60
Pd,376,3.89
P,331,3.43
Pt,564,5.84
Pu,347,3.60
Po,144,1.50
K,90.1,0.934
Pr,357,3.70
Ra,160,1.66
Rn,19.5,0.202
Re,775,8.03
Rh,554,5.75
Rb,82.2,0.852
Ru,650,6.74
Sm,206,2.14
Sc,376,3.90
Se,237,2.46
Si,446,4.63
Ag,284,2.95
Na,107,1.113
Sr,166,1.72
S,275,2.85
Ta,782,8.10
Tc,661,6.85
Te,211,2.19
Tb,391,4.05
Tl,182,1.88
Th,598,6.20
Tm,233,2.42
Sn,303,3.14
Ti,468,4.85
W,859,8.90
U,536,5.55
V,512,5.31
Xe,15.9,0.16
Yb,154,1.60
Y,422,4.37
Zn,130,1.35
Zr,603,6.25
